,beta,D1,M1,D2,M2,D3,M3,D4,M4
377,1.5110220440881763,0.01,0.7790932324052765,0.2,0.7050158996549079,0.4,0.5672476855059867,0.707,0.4012355684966711
378,1.5150300601202404,0.01,0.7718012014414698,0.2,0.699267474139816,0.4,0.5637184533247579,0.707,0.39945425332432183
379,1.5190380761523046,0.01,0.7646256082501318,0.2,0.6935934399707941,0.4,0.5602192251375088,0.707,0.39768253980559304
380,1.5230460921843687,0.01,0.7575637598242031,0.2,0.6879925134344258,0.4,0.556749746701203,0.707,0.39592039045094035
381,1.5270541082164328,0.01,0.750613045110176,0.2,0.6824634369428945,0.4,0.5533097638595332,0.707,0.394167767360755
382,1.531062124248497,0.01,0.7437709319180983,0.2,0.6770049784856398,0.4,0.5498990226580369,0.707,0.39242463224311386
383,1.535070140280561,0.01,0.737034963970279,0.2,0.6716159310893933,0.4,0.546517269453449,0.707,0.39069094643113517
384,1.539078156312625,0.01,0.7304027580814939,0.2,0.6662951122868056,0.4,0.5431642510175156,0.707,0.38896667089994447
385,1.5430861723446891,0.01,0.7238720014638989,0.2,0.6610413635938239,0.4,0.5398397146354695,0.707,0.3872517662832571
386,1.5470941883767533,0.01,0.7174404491502749,0.2,0.6558535499959642,0.4,0.5365434081993815,0.707,0.3855461928895821
387,1.5511022044088174,0.01,0.71110592152958,0.2,0.65073055944357,0.4,0.5332750802965774,0.707,0.38384991071805435
388,1.5551102204408815,0.01,0.7048663019891446,0.2,0.645671302356137,0.4,0.5300344802933168,0.707,0.3821628794738992
389,1.5591182364729457,0.01,0.6987195346581638,0.2,0.6406747111357521,0.4,0.5268213584139168,0.707,0.38048505858353576
390,1.5631262525050098,0.01,0.6926636222474495,0.2,0.6357397396896705,0.4,0.5236354658155012,0.707,0.37881640720932513
391,1.567134268537074,0.01,0.6866966239806833,0.2,0.6308653629620349,0.4,0.5204765546585499,0.707,0.3771568842639683
392,1.571142284569138,0.01,0.6808166536126821,0.2,0.626050576474725,0.4,0.5173443781734128,0.707,0.37550644842456016
393,1.5751503006012022,0.01,0.6750218775304379,0.2,0.6212943958773013,0.4,0.5142386907229552,0.707,0.3738650581463038
394,1.5791583166332663,0.01,0.6693105129329286,0.2,0.6165958565060051,0.4,0.5111592478614893,0.707,0.3722326716758933
395,1.5831663326653305,0.01,0.6636808260859097,0.2,0.611954012951744,0.4,0.5081058063901424,0.707,0.3706092470645675
396,1.5871743486973946,0.01,0.6581311306481141,0.2,0.6073679386370007,0.4,0.5050781244088114,0.707,0.36899474218084266
397,1.5911823647294587,0.01,0.6526597860654718,0.2,0.6028367254015764,0.4,0.5020759613648421,0.707,0.3673891147229285
398,1.5951903807615229,0.01,0.6472651960301486,0.2,0.598359483097081,0.4,0.4990990780985716,0.707,0.36579232223083336
399,1.599198396793587,0.01,0.6419458070013713,0.2,0.5939353391900661,0.4,0.49614723688586476,0.707,0.3642043220981639
400,1.6032064128256511,0.01,0.6367001067851683,0.2,0.5895634383736954,0.4,0.4932202014777719,0.707,0.36262507158362434
401,1.6072144288577153,0.01,0.6315266231703106,0.2,0.5852429421878395,0.4,0.49031773713743115,0.707,0.361054527822222
402,1.6112224448897794,0.01,0.6264239226178692,0.2,0.5809730286474728,0.4,0.48743961067433217,0.707,0.35949264783618284
403,1.6152304609218435,0.01,0.6213906090019533,0.2,0.5767528918792515,0.4,0.4845855904760558,0.707,0.35793938854558294
404,1.6192384769539077,0.01,0.61642532239931,0.2,0.5725817417661438,0.4,0.48175544653760105,0.707,0.3563947067787019
405,1.6232464929859718,0.01,0.6115267379255878,0.2,0.5684588035999808,0.4,0.4789489504884012,0.707,0.3548585592821021
406,1.627254509018036,0.01,0.606693564616179,0.2,0.564383317741793,0.4,0.47616587561713547,0.707,0.35333090273043993
