,phi_1,phi_2,phi_3,phi_4
0,0.0,0.0,0.0,0.0
1,8.01616082010886e-05,0.001603230793833543,0.003206453345984188,0.005667365034427691
2,0.00016033094225731943,0.003206607882106445,0.0064131498227417445,0.011334912252373293
3,0.00024051573050572396,0.004810277601223173,0.009620332604927642,0.01700282380227022
4,0.0003207237062487865,0.006414386371542036,0.012828244954966234,0.02267128176236597
5,0.0004009626102413577,0.008019080739411185,0.016037130266951343,0.02834046810558685
6,0.00048124019318259993,0.009624507419275572,0.019247232110564845,0.03401056466435198
7,0.0005615642182146478,0.01123081333587861,0.02245879427501975,0.039681753095319745
8,0.0006419424634296793,0.012838145666582384,0.02567206081303397,0.045354214844049855
9,0.0007223827243871017,0.014446651883830314,0.02888727608484063,0.051028131109564404
10,0.000802892816642564,0.016056479797776402,0.03210468480224097,0.05670368280879133
11,0.0008834805782905297,0.017667777599105195,0.035324532072705576,0.062381050540873506
12,0.0009641538725221495,0.0192806939020669,0.03854706344352973,0.06806041455132761
13,0.0010449205902002023,0.02089537778775221,0.04177252494604863,0.07374195469603594
14,0.0011257886524528792,0.022511978847631658,0.04500116313991772,0.07942585040505559
15,0.0012067660132882238,0.02413064722738442,0.04823322515746388,0.08511228064622872
16,0.0012878606622310517,0.025751533671041982,0.05146895874811241,0.09080142388857837
17,0.001369080626984205,0.02737478956547216,0.05470861232289505,0.09649345806547438
18,0.0014504339761160269,0.0290005669852293,0.05795243499904395,0.1021885605375538
19,0.0015319288217759753,0.030629018737796974,0.06120067664467621,0.1078869080553813
20,0.0016135733224403135,0.03226029840924957,0.06445358792357356,0.113588676721834
21,0.0016953756856898702,0.033894560410359806,0.06771142034006146,0.11929404195419695
22,0.001777344171021894,0.035531960023179446,0.07097442628399173,0.1250031784459547
23,0.0018594870926980536,0.037172653448121,0.0742428590758324,0.130716260128265
24,0.001941812822630702,0.038816797851568524,0.07751697301186841,0.13643346013110094
25,0.0020243297933095557,0.04046455141404632,0.08079702340951629,0.14215495074404896
26,0.002107046500770982,0.04211607337897461,0.08408326665275585,0.14788090337674906
27,0.002189971507612162,0.04377152410204202,0.08737596023768149,0.1536114885189649
28,0.0022731134460524296,0.04543106510122499,0.09067536281817518,0.15934687570027242
29,0.0023564810210441526,0.04709485910748519,0.09398173425170332,0.1650872334493546
30,0.0024400830134355925,0.04876307011617621,0.09729533564523866,0.17083272925289142
31,0.002523928283188221,0.050435863439191854,0.10061642940130852,0.17658352951403428
32,0.002608025772651077,0.05211340575788873,0.10394527926416978,0.1823397995104553
33,0.0026923845098947665,0.053795865176816754,0.10728215036611113,0.18810170335196053
34,0.0027770136121078423,0.05548341127829176,0.11062730927388181,0.19386940393765956
35,0.00286192228905833,0.057176215177845414,0.11398102403524629,0.1996430629126815
36,0.002947119846623283,0.058874449580588115,0.11734356422566343,0.2054228406244304
37,0.0030326156903893128,0.060578288838521836,0.12071520099508805,0.2112088960783725
38,0.003118419329327154,0.06228790900884025,0.12409620711489242,0.21700138689334802
39,0.0032045403795434055,0.06400348791325498,0.1274868570249043,0.2228004692564025
40,0.0032909885681126918,0.06572520519838715,0.1308874268805579,0.22860629787713146
41,0.003377773736993604,0.06745324239726508,0.13429819460015271,0.23441902594153427
42,0.0034649058470318764,0.06918778299196932,0.13771943991221514,0.24023880506537323
43,0.0035523949820543887,0.07092901247746795,0.1411514444029568,0.2460657852470346
44,0.0036402513530576818,0.07267711842668577,0.14459449156382218,0.25190011481988944
45,0.0037284853024948375,0.07443229055685226,0.148048866839118,0.2577419404041528
46,0.0038171073086646725,0.0761947207971746,0.15151485767371553,0.2635914068582408
47,0.003906127990207355,0.07796460335788324,0.15499275356081604,0.26944865722962485
48,0.003995558110710706,0.07974213480069849,0.15848284608976843,0.2753138327051863
49,0.004085408583431583,0.08152751411076849,0.16198542899392754,0.2811870725610712
50,0.004175690476136922,0.08332094277013011,0.16550079819853994,0.2870685141120498
51,0.004266415016069174,0.08512262483274564,0.1690292518686431,0.2929582926603845
52,0.004357593595041063,0.08693276700117,0.17257109045696287,0.2988565414442109
53,0.004449237774664761,0.08875157870490455,0.17612661675179211,0.30476339158543936
54,0.004541359291720777,0.09057927218049512,0.179696135924833,0.310678972037182
55,0.004633970063672081,0.09241606255343433,0.18327995557898336,0.3166034095307161
56,0.00472708219432917,0.09426216792192878,0.18687838579604618,0.32253682852199195
57,0.004820707979672022,0.09611780944259464,0.19049173918433968,0.3284793511376952
58,0.004914859913835126,0.09798321141814688,0.19412033092618436,0.3344310971208773
59,0.005009550695262018,0.09985860138714867,0.19776447882524095,0.3403921837761656
60,0.0051047932330359974,0.10174421021589033,0.20142450335367126,0.3463627259145675
61,0.005200600653394009,0.10364027219246932,0.20510072769909374,0.3523428357978859
62,0.005296986306430925,0.10554702512314393,0.20879347781130111,0.35833262308275976
63,0.005393963773001769,0.10746471043103716,0.21250308244870733,0.36433219476435114
64,0.0054915468718297646,0.10939357325726853,0.2162298732244886,0.370341655119696
65,0.005589749666828382,0.11133386256459421,0.21997418465237975,0.37636110565074044
66,0.005688586474645942,0.11328583124363892,0.22373635419208712,0.3823906450270849
67,0.005788071872441666,0.11524973622180493,0.22751672229427447,0.38843036902845995
68,0.005888220705902471,0.11722583857494687,0.23131563244507738,0.39448037048695744
69,0.005989048097510199,0.11921440364190349,0.23513343121009855,0.40054073922904626
70,0.0060905694550693985,0.12121570114198049,0.23897046827783303,0.4066115620173979
71,0.006192800480506195,0.12323000529548182,0.24282709650247075,0.4126929224925531
